EE Provider ID	EE UID	Client ID	Client Age at Entry	Client Age at Exit	Client Gender	Client Primary Race	Client Ethnicity	Client Veteran Status	Entry Date	Exit Date	Destination	Reason for Leaving	length of stay
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687914	360237	51.0	51.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-10-08	Staying or living with friends, temporary tenure (HUD)	Other	54.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687951	403745	31.0	31.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-25	Staying or living with friends, temporary tenure (HUD)	Other	10.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687967	404039	44.0	44.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-10-05	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	51.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687968	381869	75.0	75.0	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-25	Staying or living with friends, temporary tenure (HUD)	Other	41.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687969	397313	40.0	40.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-01	Staying or living with friends, temporary tenure (HUD)	Other	17.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687970	185069	42.0	42.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2016-05-25	Staying or living with friends, temporary tenure (HUD)	Other	284.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687973	399028	51.0	52.0	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2016-04-20	Rental by client, with other ongoing housing subsidy (HUD)	Completed program	249.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687974	361024	50.0	50.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-10-08	Staying or living with friends, temporary tenure (HUD)	Other	54.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687975	324453	45.0	45.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-03	Staying or living with friends, permanent tenure (HUD)	Left for housing opp. before completing program	19.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687982	395548	55.0	55.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-03	Permanent housing (other than RRH) for formerly homeless persons (HUD)	Left for housing opp. before completing program	19.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688348	393111	49.0	49.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-12-07	Staying or living with friends, temporary tenure (HUD)	Other	114.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688349	379956	50.0	50.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-10-03	Hospital or other residential non-psychiatric medical facility (HUD)	Other	49.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688350	397202	26.0	26.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-10-31	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	77.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688352	251488	49.0	49.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-11-06	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	83.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688353	395541	61.0	61.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2016-02-04	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	173.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688357	381870	53.0	53.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-25	Staying or living with friends, temporary tenure (HUD)	Other	41.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688359	392383	53.0	53.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-23	Staying or living with friends, temporary tenure (HUD)	Other	8.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688361	318262	36.0	36.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-31	Staying or living with friends, temporary tenure (HUD)	Other	16.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688362	381470	58.0	58.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-08-18	Staying or living with family, permanent tenure (HUD)	Left for housing opp. before completing program	3.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688363	309651	26.0	26.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-10-07	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	53.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688365	333120	37.0	37.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-28	Staying or living with friends, temporary tenure (HUD)	Other	44.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688366	373187	51.0	52.0	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2016-04-25	Rental by client, with other ongoing housing subsidy (HUD)	Completed program	254.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688367	362567	45.0	45.0	Female	White (HUD)	Hispanic/Latino (HUD)	No (HUD)	2015-08-15	2015-08-20	Staying or living with friends, temporary tenure (HUD)	Other	5.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688368	158414	58.0	58.0	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2016-04-20	Rental by client, no ongoing housing subsidy (HUD)	Completed program	249.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688369	401630	23.0	23.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-04	Staying or living with friends, temporary tenure (HUD)	Other	20.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688370	401763	53.0	53.0	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-20	Staying or living with friends, temporary tenure (HUD)	Other	5.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688371	314853	54.0	54.0	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-25	Hospital or other residential non-psychiatric medical facility (HUD)	Other	10.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688372	400077	42.0	42.0	Female	White (HUD)	Data not collected (HUD)	No (HUD)	2015-08-15	2015-08-29	Staying or living with friends, temporary tenure (HUD)	Other	14.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688378	386115	52.0	52.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-10-05	Staying or living with friends, temporary tenure (HUD)	Other	51.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688395	399904	58.0	58.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2016-06-10	Rental by client, no ongoing housing subsidy (HUD)	Completed program	300.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688396	394031	41.0	41.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-30	Staying or living with friends, temporary tenure (HUD)	Other	15.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688397	402258	40.0	40.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-18	Staying or living with friends, temporary tenure (HUD)	Other	3.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688398	403050	23.0	23.0	Male	American Indian or Alaska Native (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-24	Staying or living with friends, temporary tenure (HUD)	Other	9.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688403	383149	47.0	47.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-18	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	3.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688405	387590	38.0	38.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-30	Staying or living with friends, temporary tenure (HUD)	Other	46.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688406	403483	47.0	47.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-20	Staying or living with friends, temporary tenure (HUD)	Other	5.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688408	224787	65.0	65.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-29	Staying or living with friends, temporary tenure (HUD)	Other	14.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688410	225552	51.0	51.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-12-14	Rental by client, with other ongoing housing subsidy (HUD)	Completed program	121.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688413	392386	61.0	62.0	Male	American Indian or Alaska Native (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-10-06	Staying or living with friends, temporary tenure (HUD)	Other	52.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688414	262238	19.0	19.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-25	Staying or living with friends, temporary tenure (HUD)	Other	10.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688415	384147	59.0	59.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-21	Rental by client, no ongoing housing subsidy (HUD)	Completed program	37.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688416	403049	63.0	63.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-27	Staying or living with friends, temporary tenure (HUD)	Other	43.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688417	361597	47.0	48.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2016-04-07	Staying or living with friends, temporary tenure (HUD)	Left for housing opp. before completing program	236.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688418	365130	23.0	23.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-16	Staying or living with friends, temporary tenure (HUD)	Other	1.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688419	382672	55.0	56.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-11-13	Staying or living with friends, temporary tenure (HUD)	Other	90.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688420	397312	42.0	42.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-27	Hospital or other residential non-psychiatric medical facility (HUD)	Other	43.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688427	156978	34.0	34.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-01	Staying or living with friends, temporary tenure (HUD)	Other	17.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688496	398931	51.0	51.0	Female	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-27	Staying or living with friends, permanent tenure (HUD)	Left for housing opp. before completing program	12.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688497	399459	53.0	53.0	Female	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-19	2015-12-24	Staying or living with friends, temporary tenure (HUD)	Other	127.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688498	384776	53.0	53.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-21	Rental by client, no ongoing housing subsidy (HUD)	Completed program	6.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688502	333631	53.0	53.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-16	Staying or living with friends, temporary tenure (HUD)	Other	1.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688503	166457	52.0	52.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-10-15	Staying or living with friends, permanent tenure (HUD)	Completed program	61.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688505	219392	29.0	29.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-31	Staying or living with friends, temporary tenure (HUD)	Other	16.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688506	397427	60.0	60.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-09-15	Rental by client, with VASH housing subsidy (HUD)	Completed program	31.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688532	187276	51.0	51.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-26	Rental by client, no ongoing housing subsidy (HUD)	Completed program	11.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688561	217836	55.0	55.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-12-12	Rental by client, no ongoing housing subsidy (HUD)	Completed program	119.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688562	190759	47.0	47.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-04	Staying or living with friends, temporary tenure (HUD)	Other	20.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688564	397646	58.0	58.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-11	Staying or living with friends, temporary tenure (HUD)	Other	27.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688566	402256	37.0	37.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-11-20	Staying or living with friends, temporary tenure (HUD)	Other	97.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688569	296887	61.0	61.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-12-21	Staying or living with friends, temporary tenure (HUD)	Other	128.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688570	381763	35.0	35.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-09-01	Staying or living with friends, temporary tenure (HUD)	Other	17.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688571	195489	41.0	41.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-12-04	Staying or living with friends, temporary tenure (HUD)	Other	111.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688572	143061	60.0	60.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-09-19	Staying or living with friends, temporary tenure (HUD)	Other	35.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688721	399250	30.0	30.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-19	Staying or living with friends, temporary tenure (HUD)	Other	4.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688722	406857	38.0	38.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-25	Staying or living with friends, temporary tenure (HUD)	Other	41.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688723	181734	52.0	53.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-02	Psychiatric hospital or other psychiatric facility (HUD)	Other	18.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688724	162076	43.0	43.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-12	Staying or living with friends, temporary tenure (HUD)	Other	28.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688726	208663	25.0	25.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2016-03-04	Rental by client, no ongoing housing subsidy (HUD)	Completed program	202.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688727	402257	22.0	22.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-27	Staying or living with friends, temporary tenure (HUD)	Other	43.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688728	407754	30.0	30.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-31	Staying or living with friends, temporary tenure (HUD)	Other	16.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688729	407001	58.0	58.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-10-21	Staying or living with friends, temporary tenure (HUD)	Other	67.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688731	405094	52.0	52.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-02	Staying or living with friends, temporary tenure (HUD)	Other	18.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688733	319129	51.0	51.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2016-03-03	Staying or living with family, permanent tenure (HUD)	Left for housing opp. before completing program	201.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688734	406576	44.0	44.0	Male	White (HUD)	Hispanic/Latino (HUD)	No (HUD)	2015-08-15	2015-08-18	Staying or living with friends, temporary tenure (HUD)	Other	3.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688735	330427	68.0	68.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-24	Staying or living with friends, temporary tenure (HUD)	Other	9.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688737	10107	59.0	59.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-21	Staying or living with friends, temporary tenure (HUD)	Other	6.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688740	167439	64.0	64.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-08-22	Staying or living with friends, temporary tenure (HUD)	Other	7.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688750	203783	54.0	54.0	Male	Black or African American (HUD)	Hispanic/Latino (HUD)	No (HUD)	2015-08-15	2015-09-26	Staying or living with friends, temporary tenure (HUD)	Other	42.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688751	351504	58.0	58.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-12-08	Permanent housing (other than RRH) for formerly homeless persons (HUD)	Completed program	115.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688752	167911	64.0	64.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-09-21	Staying or living with friends, temporary tenure (HUD)	Other	37.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688753	316159	51.0	51.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-11-18	Staying or living with friends, temporary tenure (HUD)	Other	95.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688754	402130	51.0	51.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-27	Staying or living with friends, temporary tenure (HUD)	Other	12.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688755	387703	39.0	39.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-22	Staying or living with friends, temporary tenure (HUD)	Other	7.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688756	370346	53.0	53.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-18	Staying or living with friends, temporary tenure (HUD)	Other	3.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688757	280121	53.0	53.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-08-22	Staying or living with friends, temporary tenure (HUD)	Other	7.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688767	403361	52.0	52.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-08-18	Staying or living with friends, temporary tenure (HUD)	Other	3.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688768	403936	37.0	37.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	Yes (HUD)	2015-08-15	2015-09-17	Hospital or other residential non-psychiatric medical facility (HUD)	Other	33.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688770	373323	50.0	50.0	Male	American Indian or Alaska Native (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-15	2015-09-02	Staying or living with friends, temporary tenure (HUD)	Other	18.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688777	404041	44.0	44.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-17	2015-08-23	Staying or living with friends, temporary tenure (HUD)	Other	6.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688780	281794	44.0	44.0	Male	White (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-17	2015-08-26	Staying or living with friends, temporary tenure (HUD)	Other	9.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688782	288078	36.0	36.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-17	2015-10-14	Staying or living with friends, temporary tenure (HUD)	Other	58.0
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688784	253473	53.0	53.0	Male	Black or African American (HUD)	Non-Hispanic/Non-Latino (HUD)	No (HUD)	2015-08-17	2015-08-18	Staying or living with friends, temporary tenure (HUD)	Other	1.0
